x,y
189651.43990169853,553829.141716321
189649.3768750973,553827.1615988316
189647.20105359046,553825.110903991
189645.43924096556,553823.4507151088
189643.25807646068,553821.4073687533
189641.56321006,553819.8231122562
189640.46479635272,553818.8011698903
189639.36638264442,553817.77922753
189637.1707170324,553815.7407773205
189636.0709092166,553814.7203085927
189634.97110139983,553813.6998398834
189633.8712923804,553812.6793716329
189632.77148336679,553811.6589033928
189631.66900593936,553810.6409540098
189630.56652851545,553809.6230046402
189628.36327867972,553807.6037207609
189626.14956564244,553805.582606005
189625.23881675326,553804.7517635069
189623.02935750125,553802.7372507391
189620.9067967686,553800.8023700514
189618.69802207602,553798.7909134761
189617.590116776,553797.7799490017
189616.482211471,553796.768984523
189614.60840844287,553795.056601476
189612.8030344733,553793.406751018
189611.42176999175,553792.1444760303
189655.3570580681,553837.9332467528
189653.5812320793,553836.2390247044
189652.44688260957,553835.1567986323
189651.3125331427,553834.0745725667
189649.18935654024,553832.0489603287
189648.0416274655,553830.9539703007
189646.8938983911,553829.8589802792
189644.7175237372,553827.8017938032
189644.21283882705,553827.3247473773
189643.12211620648,553826.2940157137
189642.03139358226,553825.2632840566
189640.9386949151,553824.2297258142
189639.84599624525,553823.1961675811
189637.66835108012,553821.1403752659
189636.41755592744,553819.9589071249
189635.3254403279,553818.9299907916
189634.2333247248,553817.9010744673
189633.14139634746,553816.872245171
189632.0494679779,553815.8434158833
189629.8928724863,553813.849519422
189627.68484774415,553811.8430982586
189626.56755469696,553810.8419291221
189625.4502616519,553809.840759999
189624.33003255894,553808.8384458332
189623.20980347163,553807.8361316709
189622.09182901145,553806.83439011
189620.97385455086,553805.8326485596
189620.03927604193,553804.9946527039
189618.92201929342,553803.9931343781
189617.80476254466,553802.9916160707
189616.68750296076,553801.9900967452
189615.57024337893,553800.9885774367
189613.35014768076,553798.9928409505
189612.15274830777,553797.9195042162
189610.95534893265,553796.8461674947
189608.860844108,553794.9686743077
189652.18327137968,553841.4279990281
189650.33635081432,553839.7723892565
189648.48943025083,553838.1167795111
189647.1022782375,553836.9216283198
189645.71512622424,553835.7264771475
189644.49450401767,553834.7644566861
189643.27388181313,553833.8024362403
189641.72518864198,553832.6545251493
189639.46377387128,553830.9222055975
189637.55297335357,553829.5101763338
189635.35553718207,553827.9334503276
189633.1482820042,553826.5409915885
189630.6404595472,553825.0915365525
189629.32182066047,553824.3253270781
189628.003181779,553823.5591176094
189626.69163457616,553822.7919418791
189625.38008737957,553822.0247661538
189624.04437468568,553821.1484404593
189622.70866199894,553820.2721147824
189621.6544416505,553819.5033380748
189620.6469506001,553818.6791532282
189619.42794544855,553817.6494561322
189618.61441580774,553816.9223285803
189616.3687879047,553814.9627492506
189614.19646978748,553813.0430263907
189611.93885871008,553811.0996700139
189610.7792318556,553810.0935347755
189609.61960500505,553809.0873995479
189607.4163782772,553807.1819395435
189606.18737752977,553806.1176451613
189603.94561994573,553804.1713213433
189601.68797460885,553802.2003802207
189600.54582994294,553801.2092023526
189599.40368528262,553800.2180244987
189597.1880543006,553798.2745405908
189595.99722611267,553797.230588578
189594.80639792373,553796.1866365816
189592.63621151852,553794.1919996343
189591.5357804406,553793.168561453
189590.43534936302,553792.1451232873
189589.14588553764,553790.9203561712
189588.2753912035,553790.1475196707
189586.90553658354,553788.8996168735
189585.5356819603,553787.651714094
189584.12509798876,553786.3754449622
189582.71451401903,553785.0991758524
189581.89861077076,553784.4462339255
189580.70010511222,553783.5452488686
189579.9867700999,553783.0808106725
189578.45654014332,553782.2641491761
189576.78985886334,553781.6956682192
189575.19596447333,553781.2855816383
189573.26772707043,553781.0625266855
189571.58572475798,553780.962692921
189568.9934182314,553781.2025050109
189567.50690297066,553781.5968791366
189566.02038771973,553781.9912532532
189564.04555953285,553782.7272610856
189562.81177328932,553783.4640505601
189561.6221379273,553784.240783521
189559.42850678324,553785.9179415997
189557.234875653,553787.5950996438
189555.04124452535,553789.2722576567
189552.8476134093,553790.9494156378
189550.6539823026,553792.6265735856
189548.4603511985,553794.3037315008
189546.26672010598,553795.9808893877
189544.07308902507,553797.6580472399
189618.28514630557,553784.5519218943
189620.51673882108,553786.5513223935
189620.68538660934,553786.70382335
189622.90894987126,553788.7094316232
189624.1423405713,553789.8219219336
189626.3642966402,553791.8184467483
189628.58120389382,553793.8102097019
189630.80483582616,553795.8082963035
189633.02106965863,553797.8012276543
189635.24328425888,553799.800302759
